Name,Link,Year,GRAPHICS PROCESSOR,CORES,TMUS,ROPS,MEMORY SIZE,MEMORY TYPE,BUS WIDTH,GPU Name,GPU Variant,Architecture,Foundry,Process Size,Transistors,Die Size,Release Date,Generation,Production,Bus Interface,Reviews,Base Clock,Boost Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,Shading Units,TMUs,ROPs,Execution Units,RT Cores,L2 Cache,Pixel Rate,Texture Rate,FP16 (half) performance,FP32 (float) performance,FP64 (double) performance,Slot Width,TDP,Outputs,DirectX,OpenGL,OpenCL,Vulkan,Shader Model,Suggested PSU,Power Connectors,GPU Clock,Length,L3 Cache,Availability,Launch Price,PIXEL SHADERS,VERTEX SHADERS,Pixel Shaders,Vertex Shaders,Vertex Rate,Pixel Shader,Vertex Shader
Iris Xe Graphics 96EU,https://www.techpowerup.com/gpu-specs/iris-xe-graphics-96eu.c3881,2022,Alder Lake GT1,768,48,24,System Shared,System Shared,System Shared,Alder Lake GT1,,Generation 12.2,Intel,10 nm,unknown,unknown,"Jan 4th, 2022","HD Graphics-M
(Alder Lake)",Active,Ring Bus,1 in our database,300 MHz,1400 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,768,48,24,96,,1024 KB,33.60 GPixel/s,67.20 GTexel/s,4.301 TFLOPS (2:1),2.150 TFLOPS,537.6 GFLOPS (1:4),IGP,45 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,16 MB,,,,,,,,,
UHD Graphics 48EU,https://www.techpowerup.com/gpu-specs/uhd-graphics-48eu.c3883,2022,Alder Lake GT1,384,24,12,System Shared,System Shared,System Shared,Alder Lake GT1,,Generation 12.2,Intel,10 nm,unknown,unknown,"Jan 4th, 2022","HD Graphics-M
(Alder Lake)",Active,Ring Bus,1 in our database,300 MHz,1150 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,384,24,12,48,,1024 KB,13.80 GPixel/s,27.60 GTexel/s,1.766 TFLOPS (2:1),883.2 GFLOPS,220.8 GFLOPS (1:4),IGP,45 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,8 MB,,,,,,,,,
UHD Graphics 64EU,https://www.techpowerup.com/gpu-specs/uhd-graphics-64eu.c3884,2022,Alder Lake GT1,512,32,16,System Shared,System Shared,System Shared,Alder Lake GT1,,Generation 12.2,Intel,10 nm,unknown,unknown,"Jan 4th, 2022","HD Graphics-M
(Alder Lake)",Active,Ring Bus,1 in our database,300 MHz,1400 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,512,32,16,64,,1024 KB,22.40 GPixel/s,44.80 GTexel/s,2.867 TFLOPS (2:1),"1,434 GFLOPS",358.4 GFLOPS (1:4),IGP,45 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,10 MB,,,,,,,,,
UHD Graphics 710,https://www.techpowerup.com/gpu-specs/uhd-graphics-710.c3876,2022,Alder Lake GT1,128,8,8,System Shared,System Shared,System Shared,Alder Lake GT1,,Generation 12.2,Intel,10 nm,unknown,unknown,"Jan 4th, 2022","HD Graphics
(Alder Lake)",Active,Ring Bus,1 in our database,300 MHz,1300 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,128,8,8,16,,,10.40 GPixel/s,10.40 GTexel/s,665.6 GFLOPS (2:1),332.8 GFLOPS,,IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics 730,https://www.techpowerup.com/gpu-specs/uhd-graphics-730.c3877,2022,Alder Lake GT1,192,12,8,System Shared,System Shared,System Shared,Alder Lake GT1,,Generation 12.2,Intel,10 nm,unknown,unknown,"Jan 4th, 2022","HD Graphics
(Alder Lake)",Active,Ring Bus,1 in our database,300 MHz,1400 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,12,8,24,,,11.20 GPixel/s,16.80 GTexel/s,"1,075 GFLOPS (2:1)",537.6 GFLOPS,,IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
Arctic Sound 1T,https://www.techpowerup.com/gpu-specs/arctic-sound-1t.c3886,2021,Arctic Sound,6144,192,96,16 GB,HBM2e,4096 bit,Arctic Sound,,Generation 12.5,Intel,10 nm,"8,000 million",190 mm²,2021,Xe Graphics,Active,PCIe 4.0 x16,,,,"1200 MHz
2.4 Gbps effective",16 GB,HBM2e,4096 bit,"1,229 GB/s",6144,192,96,384,,8 MB,86.40 GPixel/s,172.8 GTexel/s,22.12 TFLOPS (2:1),11.06 TFLOPS,2.765 TFLOPS (1:4),Dual-slot,350 W,No outputs,12 (12_1),4.6,3.0,N/A,6.5,750 W,None,900 MHz,"267 mm
10.5 inches",,,,,,,,,,
Arctic Sound 2T,https://www.techpowerup.com/gpu-specs/arctic-sound-2t.c3503,2021,Arctic Sound x2,7680 x2,240 x2,120 x2,16 GB x2,HBM2e,4096 bit x2,Arctic Sound,,Generation 12.5,Intel,10 nm,"8,000 million",190 mm²,2021,Xe Graphics,Active,PCIe 4.0 x16,,,,"1200 MHz
2.4 Gbps effective",16 GB,HBM2e,4096 bit,"1,229 GB/s",7680,240,120,480,,8 MB,108.0 GPixel/s,216.0 GTexel/s,27.65 TFLOPS (2:1),13.82 TFLOPS,3.456 TFLOPS (1:4),Dual-slot,500 W,No outputs,12 (12_1),4.6,3.0,N/A,6.5,900 W,None,900 MHz,"267 mm
10.5 inches",,,,,,,,,,
UHD Graphics,https://www.techpowerup.com/gpu-specs/uhd-graphics.c3764,2021,Rocket Lake GT1,128,8,8,System Shared,System Shared,System Shared,Rocket Lake GT1,,Generation 12.1,Intel,14 nm+++,unknown,unknown,2021,"HD Graphics
(Rocket Lake)",Active,Ring Bus,1 in our database,300 MHz,900 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,128,8,8,16,,,7.200 GPixel/s,7.200 GTexel/s,460.8 GFLOPS (2:1),230.4 GFLOPS,,IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics,https://www.techpowerup.com/gpu-specs/uhd-graphics.c3811,2021,Tiger Lake GT1,256,16,8,System Shared,System Shared,System Shared,Tiger Lake GT1,,Generation 12.1,Intel,10 nm,unknown,unknown,2021,"HD Graphics-M
(Tiger Lake)",Active,Ring Bus,1 in our database,350 MHz,1350 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,256,16,8,32,,,10.80 GPixel/s,21.60 GTexel/s,"1,382 GFLOPS (2:1)",691.2 GFLOPS,172.8 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics,https://www.techpowerup.com/gpu-specs/uhd-graphics.c3814,2021,Jasper Lake GT1,256,16,8,System Shared,System Shared,System Shared,Jasper Lake GT1,,Generation 11.0,Intel,10 nm+,unknown,unknown,"Jan 11th, 2021","HD Graphics-M
(Jasper Lake)",Active,Ring Bus,1 in our database,350 MHz,750 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,256,16,8,32,,,6.000 GPixel/s,12.00 GTexel/s,768.0 GFLOPS (2:1),384.0 GFLOPS,96.00 GFLOPS (1:4),IGP,10 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics 730,https://www.techpowerup.com/gpu-specs/uhd-graphics-730.c3765,2021,Rocket Lake GT1,192,12,8,System Shared,System Shared,System Shared,Rocket Lake GT1,,Generation 12.1,Intel,14 nm+++,unknown,unknown,"Mar 30th, 2021","HD Graphics
(Rocket Lake)",Active,Ring Bus,1 in our database,300 MHz,1300 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,12,8,24,,,10.40 GPixel/s,15.60 GTexel/s,998.4 GFLOPS (2:1),499.2 GFLOPS,,IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics 750,https://www.techpowerup.com/gpu-specs/uhd-graphics-750.c3766,2021,Rocket Lake GT1,256,16,8,System Shared,System Shared,System Shared,Rocket Lake GT1,,Generation 12.1,Intel,14 nm+++,unknown,unknown,"Mar 30th, 2021","HD Graphics
(Rocket Lake)",Active,Ring Bus,1 in our database,300 MHz,1300 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,256,16,8,32,,,10.40 GPixel/s,20.80 GTexel/s,"1,331 GFLOPS (2:1)",665.6 GFLOPS,,IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics 770,https://www.techpowerup.com/gpu-specs/uhd-graphics-770.c3844,2021,Alder Lake GT1,256,16,8,System Shared,System Shared,System Shared,Alder Lake GT1,,Generation 12.2,Intel,10 nm,unknown,unknown,"Nov 4th, 2021","HD Graphics
(Alder Lake)",Active,Ring Bus,1 in our database,300 MHz,1450 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,256,16,8,32,,,11.60 GPixel/s,23.20 GTexel/s,"1,485 GFLOPS (2:1)",742.4 GFLOPS,,IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics P750,https://www.techpowerup.com/gpu-specs/uhd-graphics-p750.c3767,2021,Rocket Lake GT1,256,64,32,System Shared,System Shared,System Shared,Rocket Lake GT1,,Generation 12.1,Intel,14 nm+++,unknown,unknown,2021,"HD Graphics-W
(Rocket Lake)",Active,Ring Bus,1 in our database,300 MHz,900 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,256,64,32,32,,,28.80 GPixel/s,57.60 GTexel/s,921.6 GFLOPS (2:1),460.8 GFLOPS,115.2 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
H3C XG310,https://www.techpowerup.com/gpu-specs/h3c-xg310.c3745,2020,DG1 x4,768 x4,48 x4,24 x4,8 GB x4,LPDDR4X,128 bit x4,DG1,,Generation 12.1,Intel,10 nm,unknown,95 mm²,"Nov 11th, 2020",H3C Graphics,Active,PCIe 3.0 x16,,900 MHz,1550 MHz,"2133 MHz
4.3 Gbps effective",8 GB,LPDDR4X,128 bit,68.26 GB/s,768,48,24,96,,1024 KB,37.20 GPixel/s,74.40 GTexel/s,4.762 TFLOPS (2:1),2.381 TFLOPS,595.2 GFLOPS (1:4),Single-slot,300 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,700 W,1x 8-pin,,,16 MB,2021,,,,,,,,
Iris Plus Graphics G7,https://www.techpowerup.com/gpu-specs/iris-plus-graphics-g7.c3444,2020,Ice Lake GT2,512,32,8,System Shared,System Shared,System Shared,Ice Lake GT2,,Generation 11.0,Intel,10 nm+,unknown,unknown,"May 4th, 2020","HD Graphics-M
(Ice Lake)",Active,Ring Bus,1 in our database,300 MHz,1050 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,512,32,8,64,,,8.400 GPixel/s,33.60 GTexel/s,2.150 TFLOPS (2:1),"1,075 GFLOPS",268.8 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
Iris Xe Graphics G4,https://www.techpowerup.com/gpu-specs/iris-xe-graphics-g4.c3679,2020,Tiger Lake GT2,384,24,12,System Shared,System Shared,System Shared,Tiger Lake GT2,,Generation 12.1,Intel,10 nm,unknown,146 mm²,"Sep 2nd, 2020","HD Graphics-M
(Tiger Lake)",Active,Ring Bus,1 in our database,300 MHz,1100 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,384,24,12,48,,,13.20 GPixel/s,26.40 GTexel/s,1.690 TFLOPS (2:1),844.8 GFLOPS,211.2 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,3.75 MB,,,,,,,,,
Iris Xe Graphics G7 80EU,https://www.techpowerup.com/gpu-specs/iris-xe-graphics-g7-80eu.c3678,2020,Tiger Lake GT2,640,40,20,System Shared,System Shared,System Shared,Tiger Lake GT2,,Generation 12.1,Intel,10 nm,unknown,146 mm²,"Sep 2nd, 2020","HD Graphics-M
(Tiger Lake)",Active,Ring Bus,1 in our database,300 MHz,1100 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,640,40,20,80,,1024 KB,22.00 GPixel/s,44.00 GTexel/s,2.816 TFLOPS (2:1),"1,408 GFLOPS",352.0 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,3.75 MB,,,,,,,,,
Iris Xe Graphics G7 96EU,https://www.techpowerup.com/gpu-specs/iris-xe-graphics-g7-96eu.c3677,2020,Tiger Lake GT2,768,48,24,System Shared,System Shared,System Shared,Tiger Lake GT2,,Generation 12.1,Intel,10 nm,unknown,146 mm²,"Sep 2nd, 2020","HD Graphics-M
(Tiger Lake)",Active,Ring Bus,1 in our database,300 MHz,1100 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,768,48,24,96,,1024 KB,26.40 GPixel/s,52.80 GTexel/s,3.379 TFLOPS (2:1),1.690 TFLOPS,422.4 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,3.75 MB,,,,,,,,,
Iris Xe MAX Graphics,https://www.techpowerup.com/gpu-specs/iris-xe-max-graphics.c3737,2020,DG1,768,48,24,4 GB,LPDDR4X,128 bit,DG1,,Generation 12.1,Intel,10 nm,unknown,95 mm²,"Oct 31st, 2020","HD Graphics-M
(Tiger Lake)",Active,PCIe 4.0 x8,1 in our database,300 MHz,1650 MHz,"2133 MHz
4.3 Gbps effective",4 GB,LPDDR4X,128 bit,68.26 GB/s,768,48,24,96,,1024 KB,39.60 GPixel/s,79.20 GTexel/s,5.069 TFLOPS (2:1),2.534 TFLOPS,633.6 GFLOPS (1:4),IGP,25 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,16 MB,,,,,,,,,
UHD Graphics 610,https://www.techpowerup.com/gpu-specs/uhd-graphics-610.c3602,2020,Comet Lake GT1,96,12,2,System Shared,System Shared,System Shared,Comet Lake GT1,,Generation 9.5,Intel,14 nm+++,unknown,unknown,"Apr 30th, 2020","HD Graphics
(Comet Lake)",Active,Ring Bus,1 in our database,350 MHz,1050 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,96,12,2,12,,,2.100 GPixel/s,12.60 GTexel/s,403.2 GFLOPS (2:1),201.6 GFLOPS,50.40 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics 630,https://www.techpowerup.com/gpu-specs/uhd-graphics-630.c3600,2020,Comet Lake GT2,192,24,3,System Shared,System Shared,System Shared,Comet Lake GT2,,Generation 9.5,Intel,14 nm+++,unknown,unknown,"Apr 30th, 2020","HD Graphics
(Comet Lake)",Active,Ring Bus,1 in our database,350 MHz,1200 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,3.600 GPixel/s,28.80 GTexel/s,921.6 GFLOPS (2:1),460.8 GFLOPS,115.2 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.5,,,,,,,,,,,,,,
UHD Graphics 630,https://www.techpowerup.com/gpu-specs/uhd-graphics-630.c3601,2020,Comet Lake GT2,184,23,3,System Shared,System Shared,System Shared,Comet Lake GT2,,Generation 9.5,Intel,14 nm+++,unknown,unknown,"Apr 30th, 2020","HD Graphics
(Comet Lake)",Active,Ring Bus,1 in our database,350 MHz,1150 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,184,23,3,23,,,3.450 GPixel/s,26.45 GTexel/s,846.4 GFLOPS (2:1),423.2 GFLOPS,105.8 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.5,,,,,,,,,,,,,,
UHD Graphics G4,https://www.techpowerup.com/gpu-specs/uhd-graphics-g4.c3692,2020,Lakefield GT1,384,32,8,System Shared,System Shared,System Shared,Lakefield GT1,,Generation 11.0,Intel,10 nm,unknown,unknown,"May 28th, 2020","HD Graphics-M
(Lakefield)",Active,Ring Bus,1 in our database,200 MHz,500 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,384,32,8,48,,,4.000 GPixel/s,16.00 GTexel/s,768.0 GFLOPS (2:1),384.0 GFLOPS,96.00 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics G7,https://www.techpowerup.com/gpu-specs/uhd-graphics-g7.c3691,2020,Lakefield GT2,512,32,8,System Shared,System Shared,System Shared,Lakefield GT2,,Generation 11.0,Intel,10 nm,unknown,unknown,"May 28th, 2020","HD Graphics-M
(Lakefield)",Active,Ring Bus,1 in our database,200 MHz,500 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,512,32,8,64,,,4.000 GPixel/s,16.00 GTexel/s,"1,024 GFLOPS (2:1)",512.0 GFLOPS,128.0 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics P630,https://www.techpowerup.com/gpu-specs/uhd-graphics-p630.c3676,2020,Comet Lake GT2,192,24,3,System Shared,System Shared,System Shared,Comet Lake GT2,,Generation 9.5,Intel,14 nm+++,unknown,unknown,"May 13th, 2020","HD Graphics-W
(Comet Lake)",Active,Ring Bus,1 in our database,350 MHz,1200 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,3.600 GPixel/s,28.80 GTexel/s,921.6 GFLOPS (2:1),460.8 GFLOPS,115.2 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.5,,,,,,,,,,,,,,
UHD Graphics P630,https://www.techpowerup.com/gpu-specs/uhd-graphics-p630.c3730,2020,Comet Lake GT2,192,24,3,System Shared,System Shared,System Shared,Comet Lake GT2,,Generation 9.5,Intel,14 nm+++,unknown,unknown,"May 13th, 2020","HD Graphics-WM
(Comet Lake)",Active,Ring Bus,1 in our database,350 MHz,1200 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,3.600 GPixel/s,28.80 GTexel/s,921.6 GFLOPS (2:1),460.8 GFLOPS,115.2 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.5,,,,,,,,,,,,,,
Xe DG1,https://www.techpowerup.com/gpu-specs/xe-dg1.c3718,2020,DG1,640,40,20,4 GB,LPDDR4X,128 bit,DG1,,Generation 12.1,Intel,10 nm,unknown,95 mm²,Never Released,Xe Graphics,Active,PCIe 4.0 x8,,900 MHz,1550 MHz,"2133 MHz
4.3 Gbps effective",4 GB,LPDDR4X,128 bit,68.26 GB/s,640,40,20,80,,1024 KB,31.00 GPixel/s,62.00 GTexel/s,3.968 TFLOPS (2:1),1.984 TFLOPS,496.0 GFLOPS (1:4),Dual-slot,30 W,"1x HDMI
3x DisplayPort",12 (12_1),4.6,3.0,1.3,6.4,200 W,None,,"178 mm
7 inches",16 MB,,,,,,,,,
Xe DG1-SDV,https://www.techpowerup.com/gpu-specs/xe-dg1-sdv.c3483,2020,DG1,768,48,24,8 GB,LPDDR4X,128 bit,DG1,,Generation 12.1,Intel,10 nm,unknown,95 mm²,Never Released,Xe Graphics,Active,PCIe 4.0 x8,,900 MHz,1500 MHz,"2133 MHz
4.3 Gbps effective",8 GB,LPDDR4X,128 bit,68.26 GB/s,768,48,24,96,,1024 KB,36.00 GPixel/s,72.00 GTexel/s,4.608 TFLOPS (2:1),2.304 TFLOPS,576.0 GFLOPS (1:4),Dual-slot,75 W,"1x HDMI
3x DisplayPort",12 (12_1),4.6,3.0,1.3,6.4,250 W,None,,"178 mm
7 inches",16 MB,,,,,,,,,
Iris Plus Graphics 645,https://www.techpowerup.com/gpu-specs/iris-plus-graphics-645.c3486,2019,Coffee Lake GT3e,384,48,6,System Shared,System Shared,System Shared,Coffee Lake GT3e,,Generation 9.5,Intel,14 nm+++,unknown,unknown,"Oct 7th, 2019","HD Graphics-M
(Coffee Lake)",Active,Ring Bus,1 in our database,300 MHz,1050 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,384,48,6,48,,,6.300 GPixel/s,50.40 GTexel/s,1.613 TFLOPS (2:1),806.4 GFLOPS,201.6 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
Iris Plus Graphics G4,https://www.techpowerup.com/gpu-specs/iris-plus-graphics-g4.c3647,2019,Ice Lake GT1,384,24,8,System Shared,System Shared,System Shared,Ice Lake GT1,,Generation 11.0,Intel,10 nm+,unknown,unknown,"May 29th, 2019","HD Graphics-M
(Ice Lake)",Active,Ring Bus,1 in our database,300 MHz,1050 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,384,24,8,48,,,8.400 GPixel/s,25.20 GTexel/s,1.613 TFLOPS (2:1),806.4 GFLOPS,201.6 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics,https://www.techpowerup.com/gpu-specs/uhd-graphics.c3604,2019,Amber Lake GT2,192,24,3,System Shared,System Shared,System Shared,Amber Lake GT2,,Generation 9.5,Intel,14 nm,unknown,unknown,"Aug 21st, 2019","HD Graphics-T
(Amber Lake)",Active,Ring Bus,1 in our database,300 MHz,1050 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,3.150 GPixel/s,25.20 GTexel/s,806.4 GFLOPS (2:1),403.2 GFLOPS,100.8 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics,https://www.techpowerup.com/gpu-specs/uhd-graphics.c3644,2019,Comet Lake GT1,192,24,3,System Shared,System Shared,System Shared,Comet Lake GT1,,Generation 9.5,Intel,14 nm+++,unknown,unknown,"Aug 21st, 2019","HD Graphics-M
(Comet Lake)",Active,Ring Bus,1 in our database,300 MHz,900 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,2.700 GPixel/s,21.60 GTexel/s,691.2 GFLOPS (2:1),345.6 GFLOPS,86.40 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics,https://www.techpowerup.com/gpu-specs/uhd-graphics.c3484,2019,Comet Lake GT2,192,24,3,System Shared,System Shared,System Shared,Comet Lake GT2,,Generation 9.5,Intel,14 nm+++,unknown,unknown,"Aug 21st, 2019","HD Graphics-M
(Comet Lake)",Active,Ring Bus,1 in our database,300 MHz,1000 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,3.000 GPixel/s,24.00 GTexel/s,768.0 GFLOPS (2:1),384.0 GFLOPS,96.00 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.5,,,,,,,,,,,,,,
UHD Graphics G1,https://www.techpowerup.com/gpu-specs/uhd-graphics-g1.c3447,2019,Ice Lake GT1,256,16,8,System Shared,System Shared,System Shared,Ice Lake GT1,,Generation 11.0,Intel,10 nm+,unknown,unknown,"May 29th, 2019","HD Graphics-M
(Ice Lake)",Active,Ring Bus,1 in our database,300 MHz,900 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,256,16,8,32,,,7.200 GPixel/s,14.40 GTexel/s,921.6 GFLOPS (2:1),460.8 GFLOPS,115.2 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
Iris Plus Graphics 655,https://www.techpowerup.com/gpu-specs/iris-plus-graphics-655.c3221,2018,Coffee Lake GT3e,384,48,6,System Shared,System Shared,System Shared,Coffee Lake GT3e,,Generation 9.5,Intel,14 nm+++,unknown,unknown,"Apr 3rd, 2018","HD Graphics-M
(Coffee Lake)",Active,Ring Bus,1 in our database,300 MHz,1050 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,384,48,6,48,,,6.300 GPixel/s,50.40 GTexel/s,1.613 TFLOPS (2:1),806.4 GFLOPS,201.6 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics 610,https://www.techpowerup.com/gpu-specs/uhd-graphics-610.c3453,2018,Coffee Lake GT1,96,12,2,System Shared,System Shared,System Shared,Coffee Lake GT1,,Generation 9.5,Intel,14 nm+++,unknown,unknown,"Apr 3rd, 2018","HD Graphics-M
(Coffee Lake)",Active,Ring Bus,1 in our database,300 MHz,900 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,96,12,2,12,,,1.800 GPixel/s,10.80 GTexel/s,345.6 GFLOPS (2:1),172.8 GFLOPS,43.20 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics 610,https://www.techpowerup.com/gpu-specs/uhd-graphics-610.c3313,2018,Coffee Lake GT1,96,12,2,System Shared,System Shared,System Shared,Coffee Lake GT1,,Generation 9.5,Intel,14 nm+++,unknown,unknown,"Apr 3rd, 2018","HD Graphics
(Coffee Lake)",Active,Ring Bus,1 in our database,350 MHz,1050 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,96,12,2,12,,,2.100 GPixel/s,12.60 GTexel/s,403.2 GFLOPS (2:1),201.6 GFLOPS,50.40 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics 615,https://www.techpowerup.com/gpu-specs/uhd-graphics-615.c3370,2018,Amber Lake GT2,192,24,3,System Shared,System Shared,System Shared,Amber Lake GT2,,Generation 9.5,Intel,14 nm,unknown,unknown,"Nov 7th, 2018","HD Graphics-T
(Amber Lake)",Active,Ring Bus,1 in our database,300 MHz,900 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,2.700 GPixel/s,21.60 GTexel/s,691.2 GFLOPS (2:1),345.6 GFLOPS,86.40 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics 617,https://www.techpowerup.com/gpu-specs/uhd-graphics-617.c3338,2018,Amber Lake GT2,192,24,3,System Shared,System Shared,System Shared,Amber Lake GT2,,Generation 9.5,Intel,14 nm,unknown,unknown,"Nov 7th, 2018","HD Graphics-T
(Amber Lake)",Active,Ring Bus,1 in our database,300 MHz,1050 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,3.150 GPixel/s,25.20 GTexel/s,806.4 GFLOPS (2:1),403.2 GFLOPS,100.8 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
UHD Graphics 620,https://www.techpowerup.com/gpu-specs/uhd-graphics-620.c3381,2018,Whiskey Lake GT2,192,24,3,System Shared,System Shared,System Shared,Whiskey Lake GT2,,Generation 9.5,Intel,14 nm,unknown,unknown,"Aug 28th, 2018","HD Graphics-M
(Whiskey Lake)",Active,Ring Bus,1 in our database,300 MHz,1000 MHz,System Shared,System Shared,System Shared,System Shared,System Dependent,192,24,3,24,,,3.000 GPixel/s,24.00 GTexel/s,768.0 GFLOPS (2:1),384.0 GFLOPS,96.00 GFLOPS (1:4),IGP,15 W,No outputs,12 (12_1),4.6,3.0,1.3,6.4,,,,,,,,,,,,,,
