Name,Link,Year,GRAPHICS PROCESSOR,PIXEL SHADERS,VERTEX SHADERS,TMUS,ROPS,MEMORY SIZE,MEMORY TYPE,BUS WIDTH,GPU Name,Architecture,Foundry,Process Size,Transistors,Die Size,Release Date,Generation,Predecessor,Production,Launch Price,Bus Interface,GPU Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,Pixel Shaders,Vertex Shaders,TMUs,ROPs,Pixel Rate,Texture Rate,Slot Width,TDP,Suggested PSU,Outputs,Power Connectors,Board Number,DirectX,OpenGL,OpenCL,Vulkan,Pixel Shader,Vertex Shader,Vertex Rate,Successor,GPU Variant
Voodoo4-2 4200 PCI 32 MB,https://www.techpowerup.com/gpu-specs/voodoo4-2-4200-pci-32-mb.c3545,2000,VSA-101,2,,2,2,32 MB,DDR,128 bit,VSA-101,Voodoo Scalable,TSMC,180 nm,14 million,112 mm²,Never Released,Voodoo4-2,Voodoo4,End-of-life,,AGP 4x,166 MHz,"166 MHz
332 Mbps effective",32 MB,DDR,128 bit,5.312 GB/s,2,0,2,2,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,200 W,"1x DVI
1x VGA",None,,6.0,1.1,,,,,,Voodoo5,"Daytona
(355-0025-221)"
Voodoo4-2 4800 AGP,https://www.techpowerup.com/gpu-specs/voodoo4-2-4800-agp.c3559,2000,VSA-101,2,,2,2,32 MB,SDR,128 bit,VSA-101,Voodoo Scalable,TSMC,180 nm,14 million,112 mm²,Never Released,Voodoo4-2,Voodoo4,End-of-life,,AGP 4x,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2,0,2,2,332.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,200 W,1x VGA,None,210-0416-001-A0,6.0,1.1,,,,,,Voodoo5,Napalm 2
Voodoo5 5000 AGP,https://www.techpowerup.com/gpu-specs/voodoo5-5000-agp.c3535,2000,VSA-100 x2,2 x2,,2 x2,2 x2,16 MB x2,SDR,128 bit x2,VSA-100,Voodoo Scalable,TSMC,250 nm,14 million,112 mm²,Never Released,Voodoo5,Voodoo4-2,End-of-life,,AGP 4x,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,2,0,2,2,332.0 MPixel/s,332.0 MTexel/s,Single-slot,30 W,200 W,1x VGA,1x Molex,Pc2A 94V-0,6.0,1.1,,,,,,Spectre,"Napalm 26-220
(355-0026-220)"
Voodoo5 5000 PCI,https://www.techpowerup.com/gpu-specs/voodoo5-5000-pci.c3537,2000,VSA-100 x2,2 x2,,2 x2,2 x2,16 MB x2,SDR,128 bit x2,VSA-100,Voodoo Scalable,TSMC,250 nm,14 million,112 mm²,Never Released,Voodoo5,Voodoo4-2,End-of-life,,PCI,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,2,0,2,2,332.0 MPixel/s,332.0 MTexel/s,Single-slot,30 W,200 W,1x VGA,1x Molex,210-0393-001,6.0,1.1,,,,,,Spectre,"Napalm 26-220
(355-0026-220)"
Voodoo5 5500 AGP,https://www.techpowerup.com/gpu-specs/voodoo5-5500-agp.c3531,2000,VSA-100 x2,2 x2,,2 x2,2 x2,32 MB x2,SDR,128 bit x2,VSA-100,Voodoo Scalable,TSMC,250 nm,14 million,112 mm²,"Jun 22nd, 2000",Voodoo5,Voodoo4-2,End-of-life,299 USD,AGP 2x,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2,0,2,2,332.0 MPixel/s,332.0 MTexel/s,Single-slot,30 W,200 W,1x VGA,1x Molex,210-0413-001,6.0,1.1,,,,,,Spectre,"Napalm 26-320
(355-0026-320)"
Voodoo5 5500 PCI,https://www.techpowerup.com/gpu-specs/voodoo5-5500-pci.c3532,2000,VSA-100 x2,2 x2,,2 x2,2 x2,32 MB x2,SDR,128 bit x2,VSA-100,Voodoo Scalable,TSMC,250 nm,14 million,112 mm²,"Jun 22nd, 2000",Voodoo5,Voodoo4-2,End-of-life,299 USD,PCI,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2,0,2,2,332.0 MPixel/s,332.0 MTexel/s,Single-slot,30 W,200 W,1x VGA,1x Molex,210-0414-001-A1,6.0,1.1,,,,,,Spectre,"Napalm 26-320
(355-0026-320)"
Voodoo5 6000,https://www.techpowerup.com/gpu-specs/voodoo5-6000.c3536,2000,VSA-100 x4,2 x4,,2 x4,2 x4,32 MB x4,SDR,128 bit x4,VSA-100,Voodoo Scalable,TSMC,250 nm,14 million,112 mm²,Never Released,Voodoo5,Voodoo4-2,End-of-life,,AGP 4x,166 MHz,166 MHz,32 MB,SDR,128 bit,2.656 GB/s,2,0,2,2,332.0 MPixel/s,332.0 MTexel/s,Single-slot,60 W,250 W,1x VGA,None,,6.0,1.1,,,,,,Spectre,Napalm 30
Velocity 100,https://www.techpowerup.com/gpu-specs/velocity-100.c3552,1999,Avenger,1,,2,1,8 MB,SDR,128 bit,Avenger,,TSMC,250 nm,8.2 million,74 mm²,"Jul 26th, 1999",Voodoo3,Voodoo2,End-of-life,,AGP 2x,143 MHz,143 MHz,8 MB,SDR,128 bit,2.288 GB/s,1,0,2,1,143.0 MPixel/s,286.0 MTexel/s,Single-slot,15 W,200 W,1x VGA,None,,6.0,1.1,,,,,,Voodoo4,
Velocity 200,https://www.techpowerup.com/gpu-specs/velocity-200.c3551,1999,Avenger,1,,2,1,12 MB,SDR,128 bit,Avenger,,TSMC,250 nm,8.2 million,74 mm²,Never Released,Voodoo3,Voodoo2,End-of-life,,AGP 2x,143 MHz,143 MHz,12 MB,SDR,128 bit,2.288 GB/s,1,0,2,1,143.0 MPixel/s,286.0 MTexel/s,Single-slot,15 W,200 W,1x VGA,None,,6.0,1.1,,,,,,Voodoo4,
Voodoo3 1000 AGP,https://www.techpowerup.com/gpu-specs/voodoo3-1000-agp.c3554,1999,Avenger,1,,2,1,16 MB,SDR,128 bit,Avenger,,TSMC,250 nm,8.2 million,74 mm²,Mar 1999,Voodoo3,Voodoo2,End-of-life,,AGP 2x,143 MHz,143 MHz,16 MB,SDR,128 bit,2.288 GB/s,1,0,2,1,143.0 MPixel/s,286.0 MTexel/s,Single-slot,15 W,200 W,1x VGA,None,,6.0,1.1,,,,,,Voodoo4,355-0025-001
Voodoo3 2000 AGP,https://www.techpowerup.com/gpu-specs/voodoo3-2000-agp.c3568,1999,Avenger,1,,2,1,16 MB,SDR,128 bit,Avenger,,TSMC,250 nm,8.2 million,74 mm²,"Apr 3rd, 1999",Voodoo3,Voodoo2,End-of-life,,AGP 2x,143 MHz,143 MHz,16 MB,SDR,128 bit,2.288 GB/s,1,0,2,1,143.0 MPixel/s,286.0 MTexel/s,Single-slot,15 W,200 W,1x VGA,None,,6.0,1.1,,,,,,Voodoo4,
Voodoo3 2000 PCI,https://www.techpowerup.com/gpu-specs/voodoo3-2000-pci.c3556,1999,Avenger,1,,2,1,16 MB,SDR,128 bit,Avenger,,TSMC,250 nm,8.2 million,74 mm²,"Apr 3rd, 1999",Voodoo3,Voodoo2,End-of-life,,PCI,143 MHz,143 MHz,16 MB,SDR,128 bit,2.288 GB/s,1,0,2,1,143.0 MPixel/s,286.0 MTexel/s,Single-slot,15 W,200 W,1x VGA,None,,6.0,1.1,,,,,,Voodoo4,
Voodoo3 3000 AGP,https://www.techpowerup.com/gpu-specs/voodoo3-3000-agp.c3555,1999,Avenger,1,,2,1,16 MB,SDR,128 bit,Avenger,,TSMC,250 nm,8.2 million,74 mm²,"Apr 3rd, 1999",Voodoo3,Voodoo2,End-of-life,,AGP 2x,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,1,0,2,1,166.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,200 W,1x VGA,None,,6.0,1.1,,,,,,Voodoo4,355-0024-030
Voodoo3 3000 PCI,https://www.techpowerup.com/gpu-specs/voodoo3-3000-pci.c3553,1999,Avenger,1,,2,1,16 MB,SDR,128 bit,Avenger,,TSMC,250 nm,8.2 million,74 mm²,"Apr 3rd, 1999",Voodoo3,Voodoo2,End-of-life,,PCI,166 MHz,166 MHz,16 MB,SDR,128 bit,2.656 GB/s,1,0,2,1,166.0 MPixel/s,332.0 MTexel/s,Single-slot,15 W,200 W,1x VGA,None,,6.0,1.1,,,,,,Voodoo4,355-0017-011
Voodoo3 3500 TV AGP,https://www.techpowerup.com/gpu-specs/voodoo3-3500-tv-agp.c3557,1999,Avenger,1,,2,1,16 MB,SDR,128 bit,Avenger,,TSMC,250 nm,8.2 million,74 mm²,Jun 1999,Voodoo3,Voodoo2,End-of-life,,AGP 2x,183 MHz,183 MHz,16 MB,SDR,128 bit,2.928 GB/s,1,0,2,1,183.0 MPixel/s,366.0 MTexel/s,Single-slot,15 W,200 W,1x VGA,None,,6.0,1.1,,,,,,Voodoo4,
Voodoo Banshee AGP 16 MB,https://www.techpowerup.com/gpu-specs/voodoo-banshee-agp-16-mb.c3561,1998,Banshee,1,,1,1,16 MB,SDR,128 bit,Banshee,,TSMC,350 nm,4 million,137 mm²,"Jun 22nd, 1998",Voodoo Banshee,Voodoo Rush,End-of-life,,AGP 2x,100 MHz,100 MHz,16 MB,SDR,128 bit,1.600 GB/s,1,0,1,1,100.0 MPixel/s,100.0 MTexel/s,Single-slot,15 W,200 W,1x VGA,None,,6.0,1.1,,,,,,Voodoo3,500-0013-04
Voodoo Banshee PCI 16 MB,https://www.techpowerup.com/gpu-specs/voodoo-banshee-pci-16-mb.c3562,1998,Banshee,1,,1,1,16 MB,SDR,128 bit,Banshee,,TSMC,350 nm,4 million,137 mm²,"Jun 22nd, 1998",Voodoo Banshee,Voodoo Rush,End-of-life,,PCI,100 MHz,100 MHz,16 MB,SDR,128 bit,1.600 GB/s,1,0,1,1,100.0 MPixel/s,100.0 MTexel/s,Single-slot,15 W,200 W,1x VGA,None,,6.0,1.1,,,,,,Voodoo3,500-0013-04
Voodoo2 12 MB,https://www.techpowerup.com/gpu-specs/voodoo2-12-mb.c3560,1998,SST2,1,,2,1,12 MB,EDO,192 bit,SST2,,TSMC,350 nm,4 million,119 mm²,"Feb 2nd, 1998",Voodoo2,Voodoo1,End-of-life,299 USD,PCI,90 MHz,90 MHz,12 MB,EDO,192 bit,2.160 GB/s,1,0,2,1,90.00 MPixel/s,180.0 MTexel/s,Single-slot,15 W,200 W,2x VGA,None,,6.0,1.1,,,,,,Voodoo3,500-0010-01
Voodoo2 8 MB,https://www.techpowerup.com/gpu-specs/voodoo2-8-mb.c3569,1998,SST2,1,,2,1,8 MB,EDO,192 bit,SST2,,TSMC,350 nm,4 million,119 mm²,"Feb 2nd, 1998",Voodoo2,Voodoo1,End-of-life,299 USD,PCI,90 MHz,90 MHz,8 MB,EDO,192 bit,2.160 GB/s,1,0,2,1,90.00 MPixel/s,180.0 MTexel/s,Single-slot,15 W,200 W,2x VGA,None,,6.0,1.1,,,,,,Voodoo3,500-0010-01
Voodoo Graphics 4 MB,https://www.techpowerup.com/gpu-specs/voodoo-graphics-4-mb.c3570,1996,SST1,1,,1,1,4 MB,EDO,128 bit,SST1,,TSMC,500 nm,1 million,135 mm²,"Oct 7th, 1996",Voodoo1,,End-of-life,299 USD,PCI,50 MHz,50 MHz,4 MB,EDO,128 bit,800.0 MB/s,1,0,1,1,50.00 MPixel/s,50.00 MTexel/s,Single-slot,15 W,200 W,2x VGA,None,,5.0,1.1,,,,,,,500-0004-02
