,Accuracy
Texture Rate [GTexel/s],0.9910924181476412
TMUs,0.9844662389630248
Pixel Rate [GPixel/s],0.9840668376637743
FP32 (float) performance [TFLOPS],0.9796626895190147
ROPs,0.9766529904858253
Bandwidth [GB/s],0.9337106659040911
Transistors [million],0.7990225134438834
Memory Clock [MHz],0.7989523161102008
GPU Clock [MHz],0.6791252801834728
TDP [W],0.6257575335628118
Power Connectors,0.5448457340799429
Outputs,0.3012837066938112
