,Accuracy
Texture Rate [GTexel/s],0.9877179261829732
Pixel Rate [GPixel/s],0.9783244250059877
FP32 (float) performance [TFLOPS],0.9732853486213133
ROPs,0.972791736081534
TMUs,0.9661117145366656
Bandwidth [GB/s],0.9302210740330492
Transistors [million],0.7801313567574096
Memory Clock [MHz],0.7371367394495911
GPU Clock [MHz],0.6462927393437063
TDP [W],0.6314262820644045
Power Connectors,0.49339526677644885
Outputs,0.23774833075033086
